DDLat;DDLon
-24.991470000000000;31.478880000000000
-24.991540000000001;31.478510000000000
-24.991730000000000;31.478909999999999
-24.992560000000001;31.478590000000001
-24.992640000000002;31.478130000000000
-24.990490000000001;31.480560000000001
-24.990369999999999;31.481179999999998
-24.990410000000001;31.482410000000002
-24.990440000000000;31.481570000000001
-24.990520000000000;31.481929999999998
-24.990500000000001;31.480730000000001
-24.990700000000000;31.482650000000000
-24.990629999999999;31.484020000000001
-24.990710000000000;31.481739999999999
-24.990770000000001;31.482830000000000
-24.991000000000000;31.481829999999999
-24.990919999999999;31.480779999999999
-24.991090000000000;31.480599999999999
-24.991109999999999;31.481420000000000
-24.991040000000002;31.482650000000000
-24.991160000000001;31.480020000000000
-24.991180000000000;31.481929999999998
-24.991340000000001;31.482289999999999
-24.991440000000001;31.483550000000001
-24.991389999999999;31.482620000000001
-24.991569999999999;31.483190000000000
-24.991589999999999;31.482980000000001
-24.991569999999999;31.482309999999998
-24.991610000000001;31.480429999999998
-24.991759999999999;31.483680000000000
-24.991640000000000;31.480000000000000
-24.991759999999999;31.481719999999999
-24.991779999999999;31.480250000000002
-24.991800000000001;31.481020000000001
-24.991940000000000;31.480670000000000
-24.992159999999998;31.481089999999998
-24.992059999999999;31.481549999999999
-24.992039999999999;31.482410000000002
-24.992159999999998;31.480239999999998
-24.992380000000001;31.482410000000002
-24.992400000000000;31.482910000000000
-24.992370000000001;31.483200000000000
-24.992370000000001;31.480650000000001
-24.992439999999998;31.481439999999999
-24.992529999999999;31.482040000000001
-24.992629999999998;31.482379999999999
-24.992590000000000;31.479170000000000
-24.990410000000001;31.484860000000001
-24.990340000000000;31.487719999999999
-24.990379999999998;31.487279999999998
-24.990320000000001;31.488199999999999
-24.990400000000001;31.486400000000000
-24.990559999999999;31.485800000000001
-24.990530000000000;31.487539999999999
-24.990610000000000;31.488230000000001
-24.990580000000001;31.484490000000001
-24.990649999999999;31.486090000000001
-24.990659999999998;31.487140000000000
-24.990770000000001;31.486339999999998
-24.990790000000001;31.484210000000001
-24.990810000000000;31.488750000000000
-24.990860000000001;31.485679999999999
-24.990839999999999;31.488019999999999
-24.991000000000000;31.486470000000001
-24.991060000000001;31.486020000000000
-24.991119999999999;31.487690000000001
-24.991150000000001;31.488350000000001
-24.991090000000000;31.486860000000000
-24.991240000000001;31.487120000000001
-24.991129999999998;31.487310000000001
-24.991119999999999;31.488779999999998
-24.991320000000002;31.488560000000000
-24.991370000000000;31.484340000000000
-24.991270000000000;31.484950000000001
-24.991389999999999;31.485440000000001
-24.991399999999999;31.487490000000001
-24.991440000000001;31.484580000000001
-24.991520000000001;31.486160000000002
-24.991550000000000;31.484960000000001
-24.991790000000002;31.487700000000000
-24.991840000000000;31.488710000000001
-24.991800000000001;31.486280000000001
-24.991869999999999;31.486550000000001
-24.992069999999998;31.488040000000002
-24.992100000000001;31.488900000000001
-24.992690000000000;31.488620000000001
-24.992889999999999;31.488800000000001
-24.990320000000001;31.490800000000000
-24.990349999999999;31.489640000000001
-24.990310000000001;31.492100000000001
-24.990400000000001;31.489270000000001
-24.990459999999999;31.490259999999999
-24.990520000000000;31.491240000000001
-24.990520000000000;31.492590000000000
-24.990690000000001;31.493580000000001
-24.990749999999998;31.489500000000000
-24.990810000000000;31.491800000000001
-24.990790000000001;31.490210000000001
-24.990929999999999;31.492680000000000
-24.991000000000000;31.490659999999998
-24.991029999999999;31.491350000000001
-24.990960000000001;31.492190000000001
-24.991180000000000;31.493860000000002
-24.991289999999999;31.489490000000000
-24.991170000000000;31.493639999999999
-24.991170000000000;31.492999999999999
-24.991230000000002;31.490790000000001
-24.991430000000001;31.492490000000000
-24.991479999999999;31.493520000000000
-24.991379999999999;31.492100000000001
-24.991579999999999;31.492889999999999
-24.991510000000002;31.491470000000000
-24.991510000000002;31.489850000000001
-24.991630000000001;31.490400000000001
-24.991740000000000;31.493760000000002
-24.991700000000002;31.489429999999999
-24.991689999999998;31.490970000000001
-24.991820000000001;31.489100000000001
-24.991759999999999;31.492300000000000
-24.991940000000000;31.490610000000000
-24.991849999999999;31.492550000000001
-24.991910000000001;31.491599999999998
-24.992090000000001;31.493929999999999
-24.991990000000001;31.491879999999998
-24.992030000000000;31.489080000000001
-24.992020000000000;31.489690000000000
-24.992000000000001;31.490020000000001
-24.992270000000001;31.490340000000000
-24.992390000000000;31.489699999999999
-24.992419999999999;31.490960000000001
-24.992370000000001;31.489039999999999
-24.992540000000002;31.489249999999998
-24.992390000000000;31.489439999999998
-24.992750000000001;31.491489999999999
-24.990440000000000;31.496120000000001
-24.990290000000002;31.497000000000000
-24.990410000000001;31.494969999999999
-24.990359999999999;31.498190000000001
-24.990369999999999;31.498519999999999
-24.990490000000001;31.494250000000001
-24.990700000000000;31.497850000000000
-24.990749999999998;31.498490000000000
-24.990670000000001;31.494740000000000
-24.990810000000000;31.495640000000002
-24.990929999999999;31.494260000000001
-24.990810000000000;31.498110000000000
-24.990839999999999;31.498880000000000
-24.990880000000001;31.497150000000001
-24.990880000000001;31.495100000000001
-24.991119999999999;31.498000000000001
-24.991170000000000;31.498880000000000
-24.991350000000001;31.494180000000000
-24.991219999999998;31.495220000000000
-24.991309999999999;31.498470000000001
-24.991199999999999;31.495830000000002
-24.991389999999999;31.495039999999999
-24.991440000000001;31.497550000000000
-24.991430000000001;31.494479999999999
-24.991460000000000;31.495490000000000
-24.991499999999998;31.497979999999998
-24.991589999999999;31.496510000000001
-24.991499999999998;31.498919999999998
-24.991589999999999;31.498480000000001
-24.991660000000000;31.495699999999999
-24.991689999999998;31.497760000000000
-24.991779999999999;31.494330000000001
-24.991859999999999;31.494640000000000
-24.991840000000000;31.495069999999998
-24.991849999999999;31.495529999999999
-24.991940000000000;31.496939999999999
-24.992049999999999;31.498590000000000
-24.992069999999998;31.494489999999999
-24.992419999999999;31.495380000000001
-24.992540000000002;31.495979999999999
-24.992609999999999;31.498020000000000
